"specialty_key","city_key","city_name","name","kind","source_popularity_score","description","primary_image_url","gallery_json","source_url","imported_at","content_status"
"adana-kaynar","adana","Adana","KAYNAR","","9","","https://www.kulturportali.gov.tr/repoKulturPortali/small/18112015/8b14e237-9aa9-482d-ab33-6bd0541a7d99.jpg?format=jpg&quality=50","[]","https://www.kulturportali.gov.tr/turkiye/adana/neyenir/kaynar","2026-09-18T15:23:28.039Z","source_imported"
"adana-anali-kizli","adana","Adana","ANALI KIZLI","","9","","https://www.kulturportali.gov.tr/repoKulturPortali/small/18112015/42dc06db-9192-46b7-8ccf-728319038c12.jpg?format=jpg&quality=50","[]","https://www.kulturportali.gov.tr/turkiye/adana/neyenir/anali-kizli","2026-09-18T15:23:28.039Z","source_imported"
"adana-acili-ezme","adana","Adana","ACILI EZME","","9","","https://www.kulturportali.gov.tr/repoKulturPortali/small/18112015/bad8cbb0-9ab2-4ffa-8bd9-ff1229965de6.jpg?format=jpg&quality=50","[]","https://www.kulturportali.gov.tr/turkiye/adana/neyenir/acili-ezme","2026-09-18T15:23:28.039Z","source_imported"
"adana-adana-kebabi","adana","Adana","ADANA KEBABI","","9","","https://www.kulturportali.gov.tr/repoKulturPortali/small/SehirRehberi//TurkMutfagi/20201017083536688_adana kebabi.jpeg?format=jpg&quality=50","[]","https://www.kulturportali.gov.tr/turkiye/adana/neyenir/adana-kebabi","2026-09-18T15:23:28.039Z","source_imported"
"adana-skembe-dolmasi175280","adana","Adana","İŞKEMBE DOLMASI","","9","","https://www.kulturportali.gov.tr/repoKulturPortali/small/18112015/f150a3b1-d9c1-4536-ac46-5f938d270bb0.jpg?format=jpg&quality=50","[]","https://www.kulturportali.gov.tr/turkiye/adana/neyenir/skembe-dolmasi175280","2026-09-18T15:23:28.039Z","source_imported"
"adana-halka-tatli","adana","Adana","HALKA TATLI","","9","","https://www.kulturportali.gov.tr/repoKulturPortali/small/19112015/55372c91-dd75-46e5-9728-10b0be017856.jpg?format=jpg&quality=50","[]","https://www.kulturportali.gov.tr/turkiye/adana/neyenir/halka-tatli","2026-09-18T15:23:28.039Z","source_imported"
"adana-sirdan-dolmasi","adana","Adana","ŞIRDAN DOLMASI","","9","","https://www.kulturportali.gov.tr/repoKulturPortali/small/18112015/25ee6b9b-a833-4bdd-8c6a-7b68b910d222.Jpeg?format=jpg&quality=50","[]","https://www.kulturportali.gov.tr/turkiye/adana/neyenir/sirdan-dolmasi","2026-09-18T15:23:28.039Z","source_imported"
"adana-hayir-kamhi-corbasi","adana","Adana","HAYIR ÇORBASI","","9","","https://www.kulturportali.gov.tr/repoKulturPortali/small/18112015/18ab7f7d-71f4-4800-98f9-5b27dbc053b7.jpg?format=jpg&quality=50","[]","https://www.kulturportali.gov.tr/turkiye/adana/neyenir/hayir-kamhi-corbasi","2026-09-18T15:23:28.039Z","source_imported"
"adana-sarimsakli-kofte","adana","Adana","SARIMSAKLI KÖFTE","","9","","https://www.kulturportali.gov.tr/repoKulturPortali/small/18112015/ea9ddd83-dbc2-412e-a72b-05abb6eed30e.jpg?format=jpg&quality=50","[]","https://www.kulturportali.gov.tr/turkiye/adana/neyenir/sarimsakli-kofte","2026-09-18T15:23:28.039Z","source_imported"
"adiyaman-etli-kofte-cig-kofte","adiyaman","Adıyaman","ÇİĞ KÖFTE","","26","Güney illerimizde yaygınlık gösteren çiğ köfte, yapımından yenmesine her aşamasında birlik beraberliğin görüldüğü bir yiyecektir. Bu nedenle bir karın doyurma amacının dışına çıkarak geleneksel sohbet toplantıları yoluyla birlikteliğin, eğlencenin, muhabbettin de aracı h&acirc;line gelmiştir. Çiğ Köfte Malzemeleri Nelerdir &frac12; kg yağsız ve et taşında tokmakla dövülerek elde edilmiş kıyma 750 g çiğ köftelik bulgur 250 g tuzsuz domates salçası 1 yemek kaşığı biber salçası 330 g pul biber 4 orta boy soğan 2 diş sarımsak 2 demet maydanoz Baharatlar Çiğ Köfte Nasıl Yapılır Çiğ köftelik siyah etin içindeki sinir ve yağ bıçakla ayıklanır, sonra et taşının üzerinde et tokmağıyla dövülür. Et tam kıvamına gelince bir tabağa alınarak bekletilir. Soğan, sarımsak ve maydanozlar çok küçük doğranarak hazırlanır. Çiğ köftelik et, doğranmış soğan, sarımsak, iki türlü salça ve biber çiğ köfte leğenine konularak iyice birbirine karışana kadar elle yoğurulur. Bu karışıma azar azar bulgur katılarak alt üst edilir. Köfte avuç içiyle leğene sürte sürte iyice yumuşayıncaya kadar ara ara soğuk su verilerek yoğurulmaya devam edilir. Arada baharatları eklenir. Yoğurma işlemi tamamlandığında maydanoz katılarak son bir kez alt üst edilir. Artık hazırlanmış olan çiğ köfte elle &ldquo;sıkım&rdquo; h&acirc;line getirilir, yanında lavaş başta olmak üzere yeşillikle servis yapılır. Çiğ köftenin Şanlıurfa usulünde pul biber suda ıslatılıp buzdolabında bekletilerek yumuşatılır, köfteye öyle ilave edilir, s","https://www.kulturportali.gov.tr/repoKulturPortali/large/22022013/82c06800-2131-41c6-ae8e-4b9375d231a3.jpg?format=jpg&quality=50","[""https://www.kulturportali.gov.tr/repoKulturPortali/large/22022013/82c06800-2131-41c6-ae8e-4b9375d231a3.jpg?format=jpg&quality=50"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/22022013/82c06800-2131-41c6-ae8e-4b9375d231a3.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/07032013/14e7360d-eaa8-4ff7-a6e7-f9298f1129c6.jpg?format=jpg&quality=85"",""https://www.kulturportali.gov.tr/repoKulturPortali/large/21022013/697168d9-6222-4b35-8c56-27189704f9e6.jpg?format=jpg&quality=85""]","https://www.kulturportali.gov.tr/turkiye/adiyaman/neyenir/etli-kofte-cig-kofte","2026-09-18T15:23:28.039Z","source_imported"
