"city_key","city_name","priority","research_scope","required_output","status"
"adana","Adana","high","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"adiyaman","Adıyaman","high","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"afyonkarahisar","Afyonkarahisar","high","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"agri","Ağrı","high","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"aksaray","Aksaray","high","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"amasya","Amasya","high","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"ankara","Ankara","high","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"antalya","Antalya","high","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"ardahan","Ardahan","high","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"artvin","Artvin","high","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"aydin","Aydın","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"balikesir","Balıkesir","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"bartin","Bartın","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"batman","Batman","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"bayburt","Bayburt","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"bilecik","Bilecik","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"bingol","Bingöl","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"bitlis","Bitlis","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"bolu","Bolu","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"burdur","Burdur","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"bursa","Bursa","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"canakkale","Çanakkale","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"cankiri","Çankırı","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"corum","Çorum","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"denizli","Denizli","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"diyarbakir","Diyarbakır","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"duzce","Düzce","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"edirne","Edirne","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"elazig","Elazığ","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
"erzincan","Erzincan","normal","venues_and_route_templates","Her şehir için 3-4 rota şablonu, rota durakları, restoran/kafe ve işletme-lezzet doğrulaması gerekiyor.","pending"
